iter	Passed	Remaining
0	15	15593
1	30	15342
2	45	15210
3	60	15042
4	75	14940
5	89	14876
6	104	14817
7	119	14776
8	134	14767
9	148	14748
10	164	14757
11	178	14728
12	193	14698
13	208	14679
14	223	14644
15	237	14630
16	254	14705
17	269	14724
18	284	14684
19	299	14657
20	313	14623
21	328	14590
22	342	14552
23	357	14531
24	372	14518
25	387	14510
26	401	14465
27	415	14411
28	429	14366
29	442	14313
30	456	14265
31	470	14232
32	484	14194
33	498	14155
34	512	14117
35	525	14074
36	539	14038
37	553	14003
38	566	13962
39	580	13940
40	594	13912
41	608	13882
42	622	13852
43	635	13812
44	648	13773
45	662	13734
46	675	13695
47	688	13661
48	702	13630
49	715	13596
50	729	13571
51	742	13539
52	755	13507
53	769	13475
54	782	13448
55	795	13416
56	809	13387
57	822	13361
58	835	13333
59	848	13300
60	862	13273
61	875	13243
62	888	13214
63	901	13184
64	914	13155
65	927	13129
66	941	13114
67	954	13086
68	968	13063
69	981	13035
70	993	13005
71	1006	12977
72	1019	12948
73	1032	12924
74	1045	12897
75	1058	12874
76	1071	12848
77	1084	12823
78	1097	12798
79	1110	12772
80	1123	12745
81	1136	12722
82	1149	12697
83	1162	12673
84	1175	12653
85	1188	12630
86	1201	12606
87	1214	12583
88	1227	12560
89	1240	12540
90	1253	12520
91	1266	12500
92	1279	12478
93	1292	12460
94	1305	12439
95	1318	12415
96	1331	12393
97	1344	12371
98	1356	12349
99	1369	12329
100	1382	12309
101	1395	12288
102	1408	12266
103	1421	12244
104	1433	12222
105	1446	12202
106	1459	12181
107	1472	12161
108	1485	12141
109	1498	12122
110	1511	12104
111	1524	12084
112	1537	12064
113	1549	12044
114	1562	12025
115	1575	12006
116	1588	11987
117	1601	11970
118	1614	11951
119	1627	11934
120	1640	11915
121	1652	11896
122	1665	11876
123	1678	11858
124	1691	11838
125	1704	11821
126	1717	11804
127	1730	11786
128	1743	11769
129	1755	11751
130	1768	11731
131	1781	11715
132	1794	11697
133	1807	11679
134	1820	11663
135	1833	11647
136	1846	11630
137	1859	11613
138	1872	11597
139	1885	11580
140	1897	11562
141	1910	11545
142	1923	11529
143	1936	11511
144	1949	11495
145	1962	11478
146	1975	11461
147	1987	11443
148	2000	11425
149	2013	11408
150	2026	11391
151	2039	11376
152	2052	11361
153	2065	11344
154	2077	11327
155	2090	11309
156	2103	11292
157	2115	11276
158	2128	11258
159	2141	11242
160	2154	11226
161	2167	11211
162	2180	11194
163	2192	11176
164	2205	11161
165	2218	11145
166	2231	11129
167	2244	11114
168	2256	11097
169	2269	11081
170	2282	11066
171	2295	11050
172	2308	11035
173	2321	11019
174	2333	11003
175	2346	10987
176	2359	10970
177	2372	10954
178	2385	10939
179	2398	10924
180	2410	10908
181	2423	10892
182	2436	10876
183	2449	10861
184	2461	10845
185	2474	10829
186	2487	10814
187	2500	10799
188	2513	10783
189	2525	10767
190	2538	10753
191	2551	10738
192	2564	10722
193	2577	10707
194	2589	10692
195	2602	10676
196	2615	10662
197	2628	10647
198	2641	10632
199	2654	10617
200	2667	10601
201	2679	10586
202	2692	10570
203	2705	10557
204	2718	10541
205	2731	10527
206	2744	10512
207	2756	10497
208	2769	10481
209	2782	10466
210	2794	10450
211	2807	10434
212	2820	10420
213	2833	10406
214	2846	10391
215	2859	10377
216	2871	10362
217	2884	10348
218	2897	10333
219	2910	10318
